group,group_id,team,elo,1yr_elo_change,fifa_ranking_points,betting_odds,ave_goals_scored_per_qual_game,ave_goals_conceded_per_qual_game,ave_age_of_squad,ave_number_of_caps
a,1,france,1947,16,907,3.00,2,1.42,,
a,2,romania,1738,-15,922,250.00,1.1,0.20,,
a,3,albania,1578,28,632,500.00,1,0.50,,
a,4,switzerland,1753,-15,974,66.00,2.4,0.80,,
b,1,england,1934,31,1069,8.00,3.1,0.30,,
b,2,russia,1747,6,821,66.00,2.1,0.50,,
b,3,wales,1638,-7,839,50.00,1.1,0.40,,
b,4,slovakia,1715,-21,784,150.00,1.7,0.80,,
c,1,germany,2037,-67,1309,3.33,2.4,0.90,,
c,2,ukraine,1797,14,880,100.00,1.4,0.40,,
c,3,poland,1762,49,821,66.00,3.3,1.00,,
c,4,northern ireland,1578,85,825,350.00,1.6,0.80,,
d,1,spain,1977,45,1277,5.50,2.3,0.30,,
d,2,czechia,1728,-24,810,80.00,1.9,1.40,,
d,3,turkey,1797,120,983,80.00,1.4,0.90,,
d,4,croatia,1794,-20,856,33.00,2,0.50,,
e,1,belgium,1896,8,1352,11.00,2.4,0.50,,
e,2,italy,1844,-9,959,16.00,1.6,0.70,,
e,3,ireland,1751,48,792,150.00,1.9,0.70,,
e,4,sweden,1735,-39,713,100.00,1.5,0.90,,
f,1,portugal,1885,18,1184,22.00,1.375,0.63,,
f,2,iceland,1647,-2,724,80.00,1.7,0.60,,
f,3,austria,1766,72,1067,33.00,2.2,0.50,,
f,4,hungary,1671,49,925,350.00,1,0.63,,
